[TEXTURES]
-1	textures\Interior4.png	255	0	255

[SPRITES]
## MAP BACKGROUND 
-1	0	0	1536	1552	-1

[SHAREDDATA]
Interior-Area2_Shared_Data.txt

[OBJECTS]
-1	760	768
99	112	1408

## CAMERA BOUNDARY LIST
#	#id_sec	left	top	right	bottom
#FIRST ROW
76	A2I4_00	0	82	15	95
76	A2I4_01	16	82	31	95
76	A2I4_02	32	82	47	95
76	A2I4_03	48	82	63	95
76	A2I4_04	64	82	79	95
76	A2I4_05	80	82	95	95

#SECOND ROW
76	A2I4_10	0	66	15	79
76	A2I4_11	16	66	31	79
76	A2I4_12	32	66	47	79
76	A2I4_13	48	66	63	79
76	A2I4_14	64	66	79	79
76	A2I4_15	80	66	95	79

#THIRD ROW
76	A2I4_20	0	50	15	63
76	A2I4_21	16	50	31	63
76	A2I4_22	32	50	47	63
76	A2I4_23	48	50	63	63
76	A2I4_24	64	50	79	63
76	A2I4_25	80	50	95	63

#FOURTH ROW
76	A2I4_30	0	34	15	47
76	A2I4_31	16	34	31	47
76	A2I4_32	32	34	47	47
76	A2I4_33	48	34	63	47
76	A2I4_34	64	34	79	47
76	A2I4_35	80	34	95	47

#FIFTH ROW
76	A2I4_40	0	18	15	31
76	A2I4_41	16	18	31	31
76	A2I4_42	32	18	47	31
76	A2I4_43	48	18	63	31
76	A2I4_44	64	18	79	31
76	A2I4_45	80	18	95	31

#SIXTH ROW
76	A2I4_50	0	2	15	15
76	A2I4_51	16	2	31	15
76	A2I4_52	32	2	47	15
76	A2I4_53	48	2	63	15
76	A2I4_54	64	2	79	15
76	A2I4_55	80	2	95	15


#GATE	x	y	dx	dy	st1	st2	pre_dx	pre_dy	id_sec	tel_dx	tel_dy\
########### HORIZONTAL ###########
#HORIZONTAL FIRST ROW
77	14	88.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	17	88.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	30	88.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	33	88.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	46	88.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	49	88.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	62	88.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	65	88.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	78	88.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	81	88.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

#HORIZONTAL SECOND ROW
77	14	72.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	17	72.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	62	72.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	65	72.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	78	72.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	81	72.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

#HORIZONTAL THIRD ROW
77	30	56.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	33	56.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	46	56.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	49	56.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

77	62	56.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	65	56.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

#HORIZONTAL FOURTH ROW
77	14	40.5	1	0	0.65	0.65	36	0	A2I4	0	0
77	17	40.5	-1	0	0.65	0.65	-36	0	A2I4	0	0

#HORIZONTAL FIFTH ROW
